date,population,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,total_waste
2016/9/1,142705,2071.2,318.78,132.68,271.5,251,625.22,210.16,41.74,19.34,61.08,4.38,3695
2016/10/1,142705,2117.99,351.84,160.28,402.28,251,655.44,205.06,43.46,20.94,64.4,10.72,3968.01
2016/11/1,142705,2163.72,384.7,175.84,284.18,341,753.24,223.64,143.98,26.24,170.22,11.38,4166.92
2016/12/1,142705,2195,381.68,153.33,327.8,274,753.95,235.5,50.84,17.2,68.04,5.56,4120.86
2017/1/1,158923,2196.99,357.76,130.42,309.97,396,759.02,212.24,39.04,34.66,73.7,5.92,4046.02
2017/2/1,158923,2067.04,356.5,152.68,264.5,388,683.34,175.88,49.78,27.16,76.94,9.38,3786.26
2017/3/1,158923,2333.42,379.01,166.74,333.27,363,822.67,237.72,73.5,22.4,95.9,5.82,4374.55
2017/4/1,158923,2037.14,365.08,107.44,317.96,315,701.48,196.04,58,14.26,72.26,10.58,3807.98
2017/5/1,158923,2329.93,361.5,217.9,440.26,372,782.42,223.16,40.3,14.52,54.82,8.96,4418.95
2017/6/1,158923,2172.61,272.67,175.16,382.44,274,721.26,206.6,54.01,12.54,66.55,8.78,4006.07
2017/7/1,158923,2208.52,311.1,146.46,262.3,400,714.26,219.2,44.32,12.96,57.28,5.06,3924.18
2017/8/1,158923,2353.64,269.06,133.84,220.26,365,752.82,217.28,47.24,14.56,61.8,6.36,4015.06
2017/9/1,158923,2553.79,233.68,128.46,251.68,433,718.06,193.78,65.64,15.2,80.84,4.38,4164.67
2017/10/1,158923,2507.5,273.49,140.28,329.02,260,787.96,197.64,64.36,15.02,79.38,9.62,4324.89
2017/11/1,158923,2620.04,279.46,147.74,346.88,510,812.76,175.2,99.72,21.78,121.5,13.7,4517.28
2017/12/1,158923,2472.72,266.22,157.22,332.04,400,877.48,176.26,78.46,13.76,92.22,18.28,4392.44
2018/1/1,169961,2558.41,236.52,153.2,308.76,400,876.58,155.22,76.9,13.46,90.36,8.8,4387.85
2018/2/1,169961,2375.2,188.66,141.42,312.26,623,802.08,122.46,84.16,16.9,101.06,9.64,4052.78
2018/3/1,169961,2491.24,249.2,155.22,339.48,546,944.86,88.46,70.26,20.12,90.38,9.3,4368.14
2018/4/1,169961,2379.96,239.94,148.1,332.56,513,938.92,66.04,72.62,15.78,88.4,9.72,4203.64
2018/5/1,169961,2505.84,251.4,219.54,489.14,521,932.96,70.36,57.6,15.92,73.52,23.08,4565.84
