UniqueId,FacilityOrSiteName,Owner,ManagementType,InfrastructureType,FacilityStreetAddress,FacilitySuburbLocality,State,Postcode,Latitude,Longitude,BatteriesRechargeable,BatteriesSingleUse,BatteriesLeadAcid,ComputersAccessories,MobilePhones,PrinterCartridges,Televisions,ElectricalAppliances,ElectricalAppliancesBatteryOperated,ChemicalDrums,Mercury,WhiteGoods
VIC00292,Crowlands Drop Off Facility,Pyrenees Shire Council,Drop-off,Transfer station,Spring Flat Road,Crowlands,VIC,3377,-37.146136,143.115156,1,1,1,1,1,1,1,1,1,0,0,1
VIC00298,Cullulleraine Transfer Station,Mildura Rural City Council,Drop-off,Transfer station,Sturt Highway,Cullulleraine,VIC,3496,-34.2733315,141.6076395,1,1,1,1,1,1,1,1,1,0,0,1
VIC00303,Bingo Dandenong,Bingo Industries,Drop-off,Transfer station,3/44-48 Mills Road,Dandenong,VIC,3175,-37.9913559,145.1932848,1,1,1,1,1,1,1,1,1,0,0,1
VIC00305,Dandenong Resource and Recovery Facility,Veolia,Drop-off,Transfer station,72-74 Ordish Road,Dandenong,VIC,3175,-38.0218495,145.192464,1,1,1,1,1,1,1,1,1,0,0,1
VIC00326,Cleanaway Dandenong South Solid Waste Depot,Cleanaway,Drop-off,Transfer station,349 Perry Road,Dandenong South,VIC,3175,-38.0348975,145.1866219,1,1,1,1,1,1,1,1,1,0,0,1
VIC00328,Cleanaway Dandenong South Transfer Station,Cleanaway,Drop-off,Transfer station,72-76 Thomas Murrell Crescent,Dandenong South,VIC,3175,-38.0215772,145.193419,1,1,1,1,1,1,1,1,1,0,0,1
VIC00333,Dargo Transfer Station,Wellington Shire Council,Drop-off,Transfer station,Kings Road,Dargo,VIC,3862,-37.456218,147.241525,1,1,1,1,1,1,1,1,1,0,0,1
VIC00334,Dartmoor Resource Recovery Centre,Glenelg Shire Council,Drop-off,Transfer station,271 Bowds Lane,Dartmoor,VIC,3304,-37.90267,141.2292,1,1,1,1,1,1,1,1,1,0,0,1
VIC00335,Daylesford Transfer Station,Hepburn Shire Council,Drop-off,Transfer station,Ajax Road,Daylesford,VIC,3460,-37.334377,144.130618,1,1,1,1,1,1,1,1,1,0,0,1
VIC00337,Deddick Trailer,East Gippsland Shire Council,Drop-off,Transfer station,McKillops Road,Deddick Valley,VIC,3888,-37.073342,148.465597,1,1,1,1,1,1,1,1,1,0,0,1
VIC00344,Dellicknora Trailer,East Gippsland Shire Council,Drop-off,Transfer station,McKillops Road,Dellicknora,VIC,3888,-37.120873,148.660764,1,1,1,1,1,1,1,1,1,0,0,1
VIC00346,Dergholm Transfer Station,West Wimmera Shire Council,Drop-off,Transfer station,Quinn Road,Dergholm,VIC,3312,-37.368648,141.218439,1,1,1,1,1,1,1,1,1,0,0,1
VIC00349,Derrinallum Transfer Station,Corangamite Shire Council,Drop-off,Transfer station,Heards Road,Derrinallum,VIC,3325,-37.96977,143.1934,1,1,1,1,1,1,1,1,1,0,0,1
VIC00351,Dimboola Transfer Station,Hindmarsh Shire Council,Drop-off,Transfer station,Dimboola-Warracknabeal Road,Dimboola,VIC,3414,-36.441219,142.020489,1,1,1,1,1,1,1,1,1,0,0,1
VIC00352,Dingee Transfer Station,Loddon Shire Council,Drop-off,Transfer station,Lawry's Road,Dingee,VIC,3571,-36.3560395,144.2387575,1,1,1,1,1,1,1,1,1,0,0,1
VIC00354,Dinner Plain Resource Recovery Centre,Alpine Shire Council,Drop-off,Transfer station,Scrubbers End,Dinner Plain,VIC,3898,-37.024717,147.243721,1,1,1,1,1,1,1,1,1,0,0,1
VIC00367,Dromana Hopper,Mornington Peninsula Shire Council,Drop-off,Transfer station,256 Boundary Road,Dromana,VIC,3936,-38.3437221,144.9782003,1,1,1,1,1,1,1,1,1,0,0,1
